Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-06-09,4.41,4.54,4.315,4.52,16219074.0,0.0,1.0,4.41,4.54,4.315,4.52,16219074.0
2016-06-08,4.54,4.56,4.38,4.46,16074328.0,0.0,1.0,4.54,4.56,4.38,4.46,16074328.0
2016-06-07,4.56,4.67,4.47,4.51,20676178.0,0.0,1.0,4.56,4.67,4.47,4.51,20676178.0
2016-06-06,4.2,4.51,4.17,4.47,21329634.0,0.0,1.0,4.2,4.51,4.17,4.47,21329634.0
2016-06-03,4.16,4.2,4.08,4.16,17561799.0,0.0,1.0,4.16,4.2,4.08,4.16,17561799.0
2016-06-02,4.37,4.4,4.07,4.24,35335045.0,0.0,1.0,4.37,4.4,4.07,4.24,35335045.0
2016-06-01,4.6,4.64,4.38,4.43,29696360.0,0.0,1.0,4.6,4.64,4.38,4.43,29696360.0
2016-05-31,4.67,4.71,4.5,4.57,25379192.0,0.0,1.0,4.67,4.71,4.5,4.57,25379192.0
2016-05-27,4.39,4.63,4.37,4.6,34429620.0,0.0,1.0,4.39,4.63,4.37,4.6,34429620.0
2016-05-26,4.19,4.38,4.17,4.35,22625701.0,0.0,1.0,4.19,4.38,4.17,4.35,22625701.0
2016-05-25,4.24,4.35,4.15,4.18,24719916.0,0.0,1.0,4.24,4.35,4.15,4.18,24719916.0
2016-05-24,4.09,4.21,3.92,4.2,34283908.0,0.0,1.0,4.09,4.21,3.92,4.2,34283908.0
2016-05-23,3.9,4.2,3.88,4.04,35467015.0,0.0,1.0,3.9,4.2,3.88,4.04,35467015.0
2016-05-20,3.83,3.9,3.81,3.87,13799647.0,0.0,1.0,3.83,3.9,3.81,3.87,13799647.0
2016-05-19,3.83,3.85,3.69,3.77,17696860.0,0.0,1.0,3.83,3.85,3.69,3.77,17696860.0
2016-05-18,3.79,3.97,3.77,3.84,19506922.0,0.0,1.0,3.79,3.97,3.77,3.84,19506922.0
2016-05-17,3.8,3.98,3.69,3.79,20066139.0,0.0,1.0,3.8,3.98,3.69,3.79,20066139.0
2016-05-16,3.67,3.85,3.65,3.79,14703837.0,0.0,1.0,3.67,3.85,3.65,3.79,14703837.0
2016-05-13,3.56,3.73,3.55,3.67,16470076.0,0.0,1.0,3.56,3.73,3.55,3.67,16470076.0
2016-05-12,3.65,3.68,3.55,3.59,9255810.0,0.0,1.0,3.65,3.68,3.55,3.59,9255810.0
2016-05-11,3.61,3.68,3.6,3.65,7540251.0,0.0,1.0,3.61,3.68,3.6,3.65,7540251.0
2016-05-10,3.66,3.68,3.56,3.64,9415073.0,0.0,1.0,3.66,3.68,3.56,3.64,9415073.0
2016-05-09,3.66,3.68,3.45,3.65,16299366.0,0.0,1.0,3.66,3.68,3.45,3.65,16299366.0
2016-05-06,3.65,3.75,3.64,3.68,11839343.0,0.0,1.0,3.65,3.75,3.64,3.68,11839343.0
2016-05-05,3.64,3.8,3.605,3.66,21529565.0,0.0,1.0,3.64,3.8,3.605,3.66,21529565.0
